 initial abundance for selected isotopes
    1   0.00000E+00  NEUT 
    2   3.24414E-14  PROT 
    3   1.64119E-27  H   2
    4   4.10595E-23  HE  3
    5   2.15056E-09  HE  4
    6   1.08009E-24  BE  7
    7   0.00000E+00  B   8
    8   1.59593E-25  LI  7
    9   1.00237E-22  C  11
   10   1.42794E-09  B  11
   11   3.78980E-03  C  12
   12   2.87956E-10  C  13
   13   7.68074E-16  N  13
   14   1.53790E-07  N  14
   15   1.51704E-08  C  14
   16   1.27107E-09  N  15
   17   6.15471E-01  O  16
   18   7.87069E-09  O  17
   19   1.83727E-09  O  18
   20   5.17409E-17  F  17
   21   6.55005E-09  F  18
   22   2.17584E-11  F  19
   23   3.72482E-02  NE 20
   24   1.31325E-05  NE 21
   25   2.07222E-05  NE 22
   26   7.68633E-08  NA 22
   27   5.39050E-04  NA 23
   28   1.71264E-06  MG 23
   29   4.41903E-02  MG 24
   30   1.94756E-03  MG 25
   31   1.98133E-03  MG 26
   32   1.34330E-05  AL 26
   33   4.31830E-03  AL 27
   34   4.69279E-07  SI 27
   35   6.99835E-02  SI 28
   36   1.25333E-02  SI 29
   37   6.69570E-02  SI 30
   38   1.66013E-02  P  31
   39   1.92414E-09  S  31
   44   0.00000E+00  BE  9
   46   0.00000E+00  BE  8
   47   1.40260E-21  O  14
   48   2.70707E-11  O  15
   49   3.52723E-13  NA 21
   50   1.61622E-13  AL 25
   51   1.52363E-12  P  29
   52   6.10287E-06  P  30
   53   4.38606E-09  PB206
   54   4.80524E-10  PB207
   55   1.42119E-24  BI211
   56   1.07828E-12  PO210
   58   1.47240E-25  H   3
   59   0.00000E+00  HE  6
   60   0.00000E+00  LI  8
   61   0.00000E+00  LI  9
   62   0.00000E+00  BE 10
   63   0.00000E+00  BE 11
   64   0.00000E+00  BE 12
   65   3.21177E-22  B  12
   66   0.00000E+00  B  13
   67   0.00000E+00  B  14
   68   2.13395E-24  C  15
   69   0.00000E+00  C  16
   70   0.00000E+00  C  17
   71   0.00000E+00  C  18
   72   0.00000E+00  N  11
   73   0.00000E+00  N  12
   74   3.32191E-23  N  16
   75   0.00000E+00  N  17
   76   0.00000E+00  N  18
   77   0.00000E+00  N  19
   78   0.00000E+00  N  20
   79   0.00000E+00  N  21
   80   0.00000E+00  O  13
   81   1.57369E-21  O  19
   82   0.00000E+00  O  20
   83   0.00000E+00  O  21
   84   0.00000E+00  O  22
   85   3.43370E-15  F  20
   86   5.81046E-26  F  21
   87   0.00000E+00  F  22
   88   0.00000E+00  F  23
   89   0.00000E+00  F  24
   90   0.00000E+00  F  25
   91   0.00000E+00  F  26
   92   0.00000E+00  NE 17
   93   0.00000E+00  NE 18
   94   1.42618E-15  NE 19
   95   5.67483E-17  NE 23
   96   7.07811E-23  NE 24
   97   0.00000E+00  NE 25
   98   0.00000E+00  NE 26
   99   0.00000E+00  NE 27
  100   0.00000E+00  NE 28
  101   0.00000E+00  NE 29
  102   0.00000E+00  NE 30
  103   0.00000E+00  NE 31
  104   0.00000E+00  NE 32
  105   0.00000E+00  NE 33
  106   0.00000E+00  NE 34
  107   0.00000E+00  NE 35
