   Z   ul  [X/Fe]  sig_[X/Fe]  
   12  0   0.84    0.21
   20  0   0.49    0.09
   22  0   0.32    0.13
   23  0  -0.17    0.18
   24  0   0.08    0.15
   25  0  -0.43    0.12
   27  0    0.1    0.23
   28  0  -0.16    0.21
   29  0  -1.19    0.18
   30  0   0.06    0.23
   39  0   0.48    0.22
   40  0   0.85    0.19
   46  0   0.98    0.24
   56  0    2.8    0.19
   57  0   2.12    0.19
   58  0   2.02    0.18
   59  0   1.74    0.16
   60  0   1.99    0.22
   62  0   1.96    0.18
   63  0   1.79    0.17
   64  0   1.83    0.19
   65  0    1.5    0.16
   66  0   1.63    0.23
   67  0   1.55    0.18
   68  0   2.22    0.26
   69  0   1.97    0.19
   70  0   2.21    0.3 
   71  0   2.18    0.26
   72  0   2.33    0.2 
   76  0   1.72    0.2 
   77  0   1.39    0.2 
   82  0   2.81    0.15
