# Sakurai object surface elemental abundances in October 1999
# from https://ui.adsabs.harvard.edu/abs/1999A%26A...343..507A/abstract
#
# observational errors are all assumed to be 0.3dex
#
# ul=1 is upper limit
#
Z  species  ul  logeps  [X/Fe]  sig_eps  sig_[X/Fe]  logepsSolar
 6 C        0   9.8      2.26   0.30     0.30        8.39
 7 N        0   8.9      1.97   0.30     0.30        7.78
 8 O        0   9.4      1.59   0.30     0.30        8.66
10 Ne       0   9.5      2.51   0.30     0.30        7.84
11 Na       0   6.8      1.48   0.30     0.30        6.17
12 Mg       0   6.5     -0.18   0.30     0.30        7.53
13 Al       0   6.3      0.78   0.30     0.30        6.37
14 Si       0   7.5      0.84   0.30     0.30        7.51
15 P        0   6.3      1.79   0.30     0.30        5.36
16 S        0   6.9      0.61   0.30     0.30        7.14
19 K        0   5.0      0.77   0.30     0.30        5.08
20 Ca       0   5.5      0.04   0.30     0.30        6.31
21 Sc       0   3.9      1.70   0.30     0.30        3.05
22 Ti       0   4.6      0.55   0.30     0.30        4.90
24 Cr       0   5.1      0.31   0.30     0.30        5.64
26 Fe       0   6.6      0.00   0.30     0.30        7.45
28 Ni       0   6.2      0.82   0.30     0.30        6.23
29 Cu       0   5.0      1.64   0.30     0.30        4.21
30 Zn       0   5.4      1.65   0.30     0.30        4.60
37 Rb       0   4.6      2.85   0.30     0.30        2.60
38 Sr       0   5.4      3.33   0.30     0.30        2.92
39 Y        0   4.2      2.84   0.30     0.30        2.21
40 Zr       0   3.5      1.76   0.30     0.30        2.59
56 Ba       0   1.9      0.58   0.30     0.30        2.17
57 La       0   1.5      1.22   0.30     0.30        1.13
