# HD 94028 abundances
# iur, 06mar2015
#
# I have commented out the (probably) less-reliable species of an
# element when more than one has been measured.  For Cd, just average
# the two together?
#
# I don't know what's going on with Lu; I cannot find any reason
# to reject this abundance.
#
# Note the upper limits for some elements.
#
Z  species  ul  logeps  [X/Fe]  sig_eps  sig_[X/Fe]  logepsSolar
 3 Li    0  2.03     -99.     0.09    0.10       -99.
 6 C      0  6.62     -0.06    0.25    0.20       8.43
 7 N      1  7.01      0.93    0.      0.00       7.83
 8 O     0  7.56      0.62    0.20    0.10       8.69
11 Na    0  4.57      0.08    0.22    0.15       6.24
12 Mg    0  6.19      0.34    0.24    0.11       7.60
13 Al    0  4.78      0.08    0.34    0.20       6.45  ## NLTE, Andrievsky+08
#13Al    0  3.98     -0.72    0.34    0.20       6.45  ##  LTE
14 Si    0  6.15      0.39    0.26    0.20       7.51
15 P     0  4.05      0.39    0.19    0.19       5.41
19 K     0  3.61      0.33    0.23    0.15       5.03
20 Ca    0  4.94      0.35    0.25    0.15       6.34
21 Sc   0  1.71      0.18    0.13    0.13       3.15
#22Ti    0  3.40      0.20    0.20    0.10       4.95
22 Ti   0  3.74      0.41    0.14    0.13       4.95
#23V     0  2.21      0.03    0.22    0.14       3.93
23 V    0  2.57      0.26    0.23    0.22       3.93
#24Cr    0  3.72     -0.17    0.20    0.11       5.64
24 Cr   0  4.38      0.36    0.14    0.13       5.64
25 Mn    0  3.30     -0.38    0.21    0.11       5.43
#26Fe    0  5.75     -1.75    0.10    0.10       7.50
26 Fe   0  5.88     -1.62    0.09    0.09       7.50
27 Co    0  3.12     -0.12    0.24    0.15       4.99
28 Ni    0  4.52      0.05    0.23    0.15       6.22
#29Cu    0  1.96     -0.48    0.15    0.16       4.19
29 Cu   0  2.30     -0.27    0.14    0.16       4.19
30 Zn    0  3.08      0.27    0.20    0.12       4.56
#30Zn   0  3.26      0.32    0.11    0.15       4.56
32 Ge    0  1.56     -0.34    0.20    0.20       3.65
33 As    0  1.18      0.63    0.16    0.16       2.30
34 Se    0  2.06      0.47    0.20    0.20       3.34
37 Rb    1  2.70      1.80    0.      0.         2.52
38 Sr   0  1.36      0.11    0.15    0.21       2.87
39 Y    0  0.68      0.09    0.15    0.15       2.21
40 Zr   0  1.53      0.57    0.14    0.13       2.58
41 Nb   1  0.94      1.10    0.      0.         1.46
#42Mo    0  0.68      0.55    0.22    0.23       1.88
42 Mo   0  1.23      0.97    0.20    0.19       1.88
43 Tc    1  0.96     -88.     0.      0.         -88.
44 Ru    0  0.69      0.69    0.18    0.18       1.75
46 Pd    0 -0.01      0.09    0.22    0.23       1.65
47 Ag    1 -0.40      0.15    0.      0.         1.20
48 Cd     0  0.30      0.21    0.25    0.24       1.71
#48Cd    0  0.53      0.57    0.25    0.23       1.71
#48Cd   0  0.07     -0.02    0.25    0.24       1.71
52 Te    0  0.44      0.01    0.33    0.34       2.18
56 Ba   0  0.88      0.32    0.13    0.13       2.18
57 La   0 -0.28      0.24    0.18    0.17       1.10
58 Ce   0  0.25      0.29    0.19    0.19       1.58
59 Pr   1  0.35      1.25    0.      0.         0.72
60 Nd   0 -0.12      0.08    0.19    0.19       1.42
62 Sm   1 -0.35      0.31    0.      0.         0.96
63 Eu   0 -0.88      0.22    0.16    0.16       0.52
64 Gd   1 -0.10      0.45    0.      0.         1.07
66 Dy   0 -0.39      0.13    0.16    0.16       1.10
68 Er   1 -0.05      0.65    0.      0.         0.92
69 Tm   1 -0.95      0.57    0.      0.         0.10
70 Yb   0 -0.46      0.24    0.20    0.22       0.92
71 Lu   0 -0.62      0.90    0.25    0.24       0.10
72 Hf   1  0.15      0.92    0.      0.         0.85
74 W    1 -0.40      0.57    0.      0.         0.65
76 Os   0  0.13      0.35    0.15    0.18       1.40
77 Ir    1  1.50      1.87    0.      0.         1.38
78 Pt    0  0.22      0.35    0.15    0.14       1.62
80 Hg   1  0.30      0.75    0.      0.         1.17
82 Pb    0  1.08      0.79    0.32    0.34       2.04
